motion,engine,prompt_id,days,days_mentioned,share
ai-tracking-api,PERPLEXITY,71d04f5b9a4648bec796bfe763a0b287,9,0,0.0
ai-tracking-api,PERPLEXITY,726d6fc8778702458a65d94e17d1f5a9,10,0,0.0
ai-tracking-api,PERPLEXITY,7e0a36139af1d87f0506744e6cb856af,9,1,0.1111111111111111
ai-tracking-api,PERPLEXITY,801c147c7acc2073d63c989d825c2e99,9,0,0.0
ai-tracking-api,PERPLEXITY,813f0065ada99c7898e5e406db75d426,9,0,0.0
ai-tracking-api,PERPLEXITY,818701ba88fdf633d77fb5547168ec4a,9,0,0.0
ai-tracking-api,PERPLEXITY,8456e88765c67dbf89bdb7a5df8254c4,9,0,0.0
ai-tracking-api,PERPLEXITY,86d450e3456d903d409cd11d64b13ea2,10,0,0.0
ai-tracking-api,PERPLEXITY,87c1cdce5766ab88ef59181ec11dc109,10,0,0.0
ai-tracking-api,PERPLEXITY,8fb46c6b05db76399d1b211b05a59824,8,0,0.0
ai-tracking-api,PERPLEXITY,93269be9cb8b413d4debe2f270a16b3c,10,0,0.0
ai-tracking-api,PERPLEXITY,95e7c2f7222acc3c3c5710778280a5e3,10,0,0.0
ai-tracking-api,PERPLEXITY,96ebd207264e93eb29ec1e1734e768ba,10,1,0.1
ai-tracking-api,PERPLEXITY,989f46cf9b80c2e767e006b6b09ae5d1,9,0,0.0
ai-tracking-api,PERPLEXITY,9d3337d16a65c9c0cf60b5c9b650b170,8,0,0.0
ai-tracking-api,PERPLEXITY,9e84239e8371ee15612501c706bb42d8,9,0,0.0
ai-tracking-api,PERPLEXITY,a0ccf53455af8726dc7afa6a19b7e498,10,0,0.0
ai-tracking-api,PERPLEXITY,a3eb0c281d704a0c980e2e65c85fd969,10,2,0.2
ai-tracking-api,PERPLEXITY,ae8cb590284a3fe40e5f5d2daf610a7a,9,0,0.0
ai-tracking-api,PERPLEXITY,b4d0317a754d12f53b86c9b6648f369a,9,0,0.0
ai-tracking-api,PERPLEXITY,b5d6e4d7b7abc2b19b4ca15cced032d0,10,0,0.0
ai-tracking-api,PERPLEXITY,b7e443656c697fd2d61bddcf4f7ae998,10,0,0.0
ai-tracking-api,PERPLEXITY,b8a8b1b5b2c077ab2f7a5962c355528d,9,2,0.2222222222222222
ai-tracking-api,PERPLEXITY,c11adae467eed22367c0be0cc30d4968,9,0,0.0
ai-tracking-api,PERPLEXITY,c3cf7e441296b3c312397fd37ae713b4,9,0,0.0
ai-tracking-api,PERPLEXITY,c620df5a7e76eb1c65695e5a4db2b7f0,9,0,0.0
ai-tracking-api,PERPLEXITY,c789c64d2cbdc638a3a9ed05b38e08ea,9,0,0.0
ai-tracking-api,PERPLEXITY,cea26f0d4cea95ca19e501e2bec797c2,9,0,0.0
ai-tracking-api,PERPLEXITY,d2bc48d425392150794dc40e6caef79b,10,0,0.0
ai-tracking-api,PERPLEXITY,d905b753be6b30b0264b1f2076480e34,10,0,0.0
ai-tracking-api,PERPLEXITY,de975d0e0f27e0cd23b02bafa1e52a69,10,0,0.0
ai-tracking-api,PERPLEXITY,e01d7b4eebe0a86db160c3972bc00461,9,0,0.0
ai-tracking-api,PERPLEXITY,e0c5972797d310304fd52de485083c00,10,0,0.0
ai-tracking-api,PERPLEXITY,e1bc7dc4b7983114cd1e8a6df4af9ac3,8,0,0.0
